pathway	gene
PWY_neural	SIMG_00087
PWY_misc	SIMG_00088
PWY_metabolism	SIMG_00088
PWY_signal	SIMG_00089
PWY_immune	SIMG_00089
PWY_misc	SIMG_00090
PWY_immune	SIMG_00090
PWY_misc	SIMG_00091
PWY_neural	SIMG_00091
PWY_signal	SIMG_00092
PWY_immune	SIMG_00092
PWY_immune	SIMG_00093
PWY_neural	SIMG_00093
PWY_neural	SIMG_00094
PWY_signal	SIMG_00094
PWY_metabolism	SIMG_00095
PWY_immune	SIMG_00095
PWY_metabolism	SIMG_00096
PWY_misc	SIMG_00096
PWY_metabolism	SIMG_00097
PWY_immune	SIMG_00097
PWY_immune	SIMG_00098
PWY_metabolism	SIMG_00098
PWY_metabolism	SIMG_00099
PWY_neural	SIMG_00099
